Edad,Rotacion,Departamento,Puesto,Nivel_Educativo,Ingreso_Mensual,Disponibilidad_Horaria,Movilidad_Propia,Distancia_KM,Cantidad_Hijos,Satisfaccion_Puesto,Equilibrio_VidaTrabajo,Horas_Extra,Capacitaciones_Ultimo_Anio,Anios_Empresa,Num_Empresas_Previas
54,No,Contaduría,Tesorero/a,2,1381367,Media jornada,Sí,1.6,2,Bueno,Bueno,Sí,1,16,1
40,No,Dirección de Carreras,Coordinador/a Académico/a,3,2509992,Completa,No,5.4,2,Bajo,Excelente,No,0,4,1
32,Yes,Marketing,Especialista en Comunicación,3,1210112,Completa,No,22.5,1,Muy bajo,Bueno,Sí,0,3,0
34,No,Tecnología,Desarrollador/a,3,1416564,Completa,No,2.5,0,Bajo,Bueno,No,3,5,0
54,Yes,Docencia,Auxiliar Docente,4,1951826,Completa,Sí,9.7,1,Excelente,Bueno,No,1,11,2
43,No,Docencia,Coordinador/a de Cátedra,5,1653524,Media jornada,Sí,15.9,1,Bajo,Muy bajo,No,0,9,1
50,Yes,Docencia,Jefe/a de Trabajos Prácticos,3,921476,Flexible,No,8.2,2,Excelente,Bueno,No,2,8,1
51,No,Mantenimiento,Encargado/a de Servicios Generales,2,928893,Completa,No,4.5,1,Muy bajo,Bueno,No,1,15,1
54,Yes,Tecnología,Analista Funcional,3,1226910,Completa,Sí,15.9,0,Muy bajo,Muy bajo,No,1,13,3
38,Yes,Tecnología,Soporte IT,3,866774,Completa,No,12.8,2,Excelente,Bajo,Sí,1,4,0
36,Yes,Docencia,Auxiliar Docente,4,1911824,Flexible,No,13.5,2,Bajo,Bueno,No,0,3,1
56,No,Dirección de Carreras,Director/a de Carrera,2,3000000,Media jornada,No,6.6,2,Excelente,Muy bajo,No,0,16,3
21,No,Mantenimiento,Técnico/a de Mantenimiento,3,835750,Completa,Sí,3.8,0,Bueno,Bueno,No,1,0,0
41,No,Investigación y desarrollo,Investigador/a Principal,3,1260827,Media jornada,No,10.9,0,Bajo,Bueno,No,3,6,1
50,Yes,Docencia,Profesor/a Titular,4,2095485,Flexible,No,16.8,0,Muy bajo,Bueno,Sí,0,11,3
34,No,Docencia,Profesor/a Titular,4,2508388,Completa,No,3.0,0,Excelente,Muy bajo,No,1,4,1
23,Yes,Investigación y desarrollo,Docente-Investigador/a,4,1677894,Completa,No,8.4,0,Excelente,Bueno,No,2,0,0
22,Yes,RRHH,Especialista en Selección,3,1042851,Flexible,Sí,3.9,0,Bajo,Bueno,Sí,2,0,0
39,Yes,Contaduría,Responsable Impositivo,2,1143171,Media jornada,No,5.7,0,Muy bajo,Excelente,No,2,5,1
58,No,Investigación y desarrollo,Docente-Investigador/a,5,1470300,Completa,Sí,14.9,0,Bueno,Bueno,No,0,2,0
32,No,Tecnología,Desarrollador/a,2,2497926,Completa,No,4.7,1,Bueno,Bueno,No,2,2,0
57,No,Docencia,Coordinador/a de Cátedra,5,2005531,Completa,No,13.8,2,Excelente,Bueno,No,0,14,1
49,No,Investigación y desarrollo,Becario/a de Investigación,3,1204683,Completa,No,6.8,0,Excelente,Bueno,Sí,2,3,0
32,No,Investigación y desarrollo,Becario/a de Investigación,5,1622625,Media jornada,Sí,18.6,0,Muy bajo,Excelente,No,4,0,0
24,No,Contaduría,Tesorero/a,2,1200392,Completa,Sí,3.2,0,Bueno,Bueno,No,1,1,0
30,Yes,Marketing,Especialista en Comunicación,3,808915,Media jornada,Sí,16.7,0,Excelente,Muy bajo,No,0,3,0
34,No,Docencia,Profesor/a Adjunto/a,3,1797503,Flexible,No,3.2,1,Bajo,Bajo,No,0,1,0
35,No,RRHH,Especialista en Capacitación,4,1455225,Completa,Sí,6.4,1,Bueno,Excelente,No,0,6,1
41,Yes,Tecnología,Administrador/a de Sistemas,3,1970542,Completa,Sí,14.0,2,Excelente,Bajo,Sí,2,7,1
32,No,Docencia,Coordinador/a de Cátedra,3,2366931,Completa,No,5.0,0,Bueno,Excelente,No,0,2,0
25,Yes,Tecnología,Administrador/a de Sistemas,3,1112193,Media jornada,No,6.4,1,Bueno,Bajo,No,1,1,0
50,No,Docencia,Jefe/a de Trabajos Prácticos,2,1467511,Completa,No,9.2,0,Bueno,Excelente,No,0,3,0
33,Yes,Docencia,Jefe/a de Trabajos Prácticos,3,1407010,Media jornada,Sí,7.2,0,Excelente,Bueno,No,2,5,1
35,No,Ventas,Representante Institucional,4,1906136,Flexible,No,5.9,0,Bueno,Muy bajo,Sí,1,4,0
59,No,Dirección de Carreras,Secretario/a Académico/a,4,2614808,Completa,Sí,16.1,2,Muy bajo,Bueno,Sí,1,11,2
52,Yes,Marketing,Community Manager,2,813617,Flexible,Sí,19.9,0,Muy bajo,Muy bajo,Sí,0,14,2
23,No,Investigación y desarrollo,Becario/a de Investigación,5,1968859,Flexible,Sí,19.1,0,Bajo,Bueno,No,2,0,0
45,No,Docencia,Auxiliar Docente,4,1075672,Completa,No,12.5,1,Bueno,Bajo,No,0,2,0
41,No,Tecnología,Administrador/a de Sistemas,3,2534727,Completa,No,13.6,0,Excelente,Excelente,No,5,2,0
58,No,Contaduría,Analista Contable,3,1428103,Flexible,Sí,2.8,0,Bajo,Bajo,Sí,1,2,0
32,Yes,Docencia,Jefe/a de Trabajos Prácticos,4,2098640,Flexible,No,8.6,0,Bueno,Bueno,No,0,4,0
33,No,RRHH,Especialista en Capacitación,4,1240539,Completa,No,6.1,0,Bajo,Bajo,No,1,4,1
51,No,Docencia,Profesor/a Titular,3,2594735,Completa,Sí,11.2,1,Bajo,Bajo,No,0,4,0
49,No,Ventas,Representante Institucional,3,2055914,Completa,No,11.0,1,Bueno,Bueno,No,1,3,0
53,Yes,Investigación y desarrollo,Docente-Investigador/a,3,1699882,Flexible,No,9.3,0,Bueno,Bueno,No,1,3,0
35,Yes,Tecnología,Desarrollador/a,3,2063549,Completa,No,12.4,0,Bajo,Bueno,No,3,7,1
46,Yes,Investigación y desarrollo,Investigador/a Asistente,3,1931618,Completa,No,10.7,2,Muy bajo,Bajo,Sí,5,9,1
37,No,RRHH,Especialista en Capacitación,4,1415185,Media jornada,Sí,6.6,1,Bueno,Bueno,Sí,3,5,1
41,Yes,RRHH,Generalista de RRHH,3,769735,Completa,Sí,3.4,1,Bajo,Bueno,Sí,1,4,0
50,No,Docencia,Profesor/a Titular,4,2749777,Media jornada,No,3.6,1,Excelente,Bueno,No,2,7,1
58,Yes,Dirección de Carreras,Coordinador/a Académico/a,3,3000000,Completa,No,11.2,0,Bueno,Excelente,Sí,3,3,0
31,No,Marketing,Community Manager,2,1280073,Flexible,No,6.6,2,Bueno,Bueno,No,2,5,1
38,Yes,Ventas,Asesor/a de Vinculación,2,1669171,Completa,No,5.5,1,Muy bajo,Bajo,No,3,7,0
53,No,Ventas,Asesor/a de Vinculación,2,896731,Media jornada,No,14.3,0,Bueno,Bueno,No,0,10,2
23,No,Tecnología,Analista Funcional,3,2257338,Media jornada,No,8.7,0,Bajo,Excelente,No,4,0,0
27,No,Ventas,Ejecutivo/a de Vinculación y Empresas,3,1986649,Completa,No,21.8,0,Muy bajo,Bueno,No,1,1,0
47,No,Docencia,Coordinador/a de Cátedra,4,949499,Completa,No,13.3,0,Bajo,Bueno,No,0,4,0
24,Yes,Docencia,Profesor/a Titular,2,2576259,Completa,No,5.1,1,Excelente,Bajo,No,2,0,0
43,No,Docencia,Coordinador/a de Cátedra,2,1822858,Completa,Sí,14.4,2,Muy bajo,Bueno,No,0,6,1
49,Yes,Investigación y desarrollo,Becario/a de Investigación,3,1107874,Flexible,No,12.0,0,Bueno,Bueno,No,1,2,0
40,Yes,Contaduría,Administrativo/a de Contaduría,2,911237,Media jornada,No,3.1,0,Excelente,Muy bajo,No,1,1,0
20,Yes,Investigación y desarrollo,Becario/a de Investigación,5,1791722,Completa,No,6.0,0,Bueno,Bueno,Sí,2,0,0
23,No,Mantenimiento,Técnico/a de Mantenimiento,3,1031755,Media jornada,No,8.6,0,Excelente,Excelente,No,0,1,0
45,Yes,Investigación y desarrollo,Investigador/a Principal,5,3000000,Media jornada,No,2.0,1,Bueno,Bajo,Sí,5,11,2
43,No,Investigación y desarrollo,Técnico/a de Laboratorio,4,2144279,Flexible,No,1.4,1,Muy bajo,Bajo,No,4,1,0
26,No,RRHH,Especialista en Selección,2,1368777,Completa,Sí,6.3,1,Bueno,Bueno,No,0,0,0
19,No,Docencia,Profesor/a Adjunto/a,3,969419,Completa,No,9.7,0,Bueno,Bueno,Sí,1,0,0
38,Yes,Marketing,Especialista en Comunicación,4,1117641,Completa,Sí,10.9,1,Bajo,Bueno,Sí,0,7,1
41,Yes,Docencia,Profesor/a Titular,4,2555678,Completa,No,9.7,3,Muy bajo,Muy bajo,Sí,0,10,1
50,No,Dirección de Carreras,Secretario/a Académico/a,2,2525786,Completa,Sí,12.3,0,Muy bajo,Excelente,No,2,13,1
29,Yes,Marketing,Community Manager,3,1177160,Completa,No,20.0,1,Muy bajo,Bueno,No,1,3,0
57,Yes,Docencia,Auxiliar Docente,4,1063663,Completa,No,9.1,0,Bajo,Bueno,No,3,5,1
42,Yes,Docencia,Jefe/a de Trabajos Prácticos,4,1538075,Media jornada,No,2.8,0,Excelente,Bueno,Sí,2,1,0
29,Yes,Mantenimiento,Encargado/a de Servicios Generales,4,779285,Completa,No,1.3,0,Bajo,Bajo,No,1,0,0
47,No,Tecnología,Soporte IT,3,1723998,Completa,No,7.0,1,Excelente,Bajo,No,1,8,1
44,No,Tecnología,Desarrollador/a,3,2658700,Completa,No,7.2,0,Bueno,Bajo,Sí,1,1,0
34,No,Marketing,Community Manager,1,1290077,Completa,Sí,3.2,1,Bajo,Bajo,No,2,5,1
